name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal,New_name
Lin Dan,24.0,China,2008,2008-08-24,Badminton,1,0,0,1,Lin Dan
Lilyana Natsir,22.0,Indonesia,2008,2008-08-24,Badminton,0,1,0,1,Lilyana Natsir
Hendra Setiawan,23.0,Indonesia,2008,2008-08-24,Badminton,1,0,0,1,Hendra Setiawan
Wei Yili,26.0,China,2008,2008-08-24,Badminton,0,0,1,1,Wei Yili
Nova Widianto,30.0,Indonesia,2008,2008-08-24,Badminton,0,1,0,1,Nova Widianto
Xie Xingfan,27.0,China,2008,2008-08-24,Badminton,0,1,0,1,Xie Xingfan
Maria Yulianti,23.0,Indonesia,2008,2008-08-24,Badminton,0,0,1,1,Maria Yulianti
Zhang Ning,33.0,China,2008,2008-08-24,Badminton,1,0,0,1,Zhang Ning
Zhang Yawen,23.0,China,2008,2008-08-24,Badminton,0,0,1,1,Zhang Yawen
Gail Emms,27.0,Great Britain,2004,2004-08-29,Badminton,0,1,0,1,Gail Emms
Hian Eng,27.0,Indonesia,2004,2004-08-29,Badminton,0,0,1,1,Hian Eng
Jens Eriksen,34.0,Denmark,2004,2004-08-29,Badminton,0,0,1,1,Jens Eriksen
Ha Tae-Gwon,29.0,South Korea,2004,2004-08-29,Badminton,1,0,0,1,Ha Tae Gwon
Taufik Hidayat,23.0,Indonesia,2004,2004-08-29,Badminton,1,0,0,1,Taufik Hidayat
Huang Sui,22.0,China,2004,2004-08-29,Badminton,0,1,0,1,Huang Sui
Kim Dong-Mun,28.0,South Korea,2004,2004-08-29,Badminton,1,0,0,1,Kim Dong Mun
Sony Dwi Kuncoro,20.0,Indonesia,2004,2004-08-29,Badminton,0,0,1,1,Sony Dwi Kuncoro
Lee Dong-Su,30.0,South Korea,2004,2004-08-29,Badminton,0,1,0,1,Lee Dong Su
Lee Gyeong-Won,24.0,South Korea,2004,2004-08-29,Badminton,0,0,1,1,Lee Gyeong Won
Flandy Limpele,30.0,Indonesia,2004,2004-08-29,Badminton,0,0,1,1,Flandy Limpele
Mia Audina,24.0,Netherlands,2004,2004-08-29,Badminton,0,1,0,1,Mia Audina
Na Gyeong-Min,27.0,South Korea,2004,2004-08-29,Badminton,0,0,1,1,Na Gyeong Min
Nathan Robertson,27.0,Great Britain,2004,2004-08-29,Badminton,0,1,0,1,Nathan Robertson
Mette Schjoldager,27.0,Denmark,2004,2004-08-29,Badminton,0,0,1,1,Mette Schjoldager
Son Seung-Mo,24.0,South Korea,2004,2004-08-29,Badminton,0,1,0,1,Son Seung Mo
Yang Wei,25.0,China,2004,2004-08-29,Badminton,1,0,0,1,Yang Wei
Yu Yong-Seong,29.0,South Korea,2004,2004-08-29,Badminton,0,1,0,1,Yu Yong Seong
Zhang Jiewen,23.0,China,2004,2004-08-29,Badminton,1,0,0,1,Zhang Jiewen
Zhang Jun,26.0,China,2004,2004-08-29,Badminton,1,0,0,1,Zhang Jun
Zhang Ning,29.0,China,2004,2004-08-29,Badminton,1,0,0,1,Zhang Ning
Zhou Mi,25.0,China,2004,2004-08-29,Badminton,0,0,1,1,Zhou Mi
Simon Archer,27.0,Great Britain,2000,2000-10-01,Badminton,0,0,1,1,Simon Archer
Ge Fei,26.0,China,2000,2000-10-01,Badminton,1,0,0,1,Ge Fei
Gong Zhichao,23.0,China,2000,2000-10-01,Badminton,1,0,0,1,Gong Zhichao
Gu Jun,25.0,China,2000,2000-10-01,Badminton,1,0,0,1,Gu Jun
Tony Gunawan,25.0,Indonesia,2000,2000-10-01,Badminton,1,0,0,1,Tony Gunawan
Ha Tae-Gwon,25.0,South Korea,2000,2000-10-01,Badminton,0,0,1,1,Ha Tae Gwon
Trikus Haryanto,26.0,Indonesia,2000,2000-10-01,Badminton,0,1,0,1,Trikus Haryanto
Hendrawan,28.0,Indonesia,2000,2000-10-01,Badminton,0,1,0,1,Hendrawan
Huang Nanyan,23.0,China,2000,2000-10-01,Badminton,0,1,0,1,Huang Nanyan
Ji Xinpeng,22.0,China,2000,2000-10-01,Badminton,1,0,0,1,Ji Xinpeng
Kim Dong-Mun,24.0,South Korea,2000,2000-10-01,Badminton,0,0,1,1,Kim Dong Mun
Lee Dong-Su,26.0,South Korea,2000,2000-10-01,Badminton,0,1,0,1,Lee Dong Su
Camilla Martin,26.0,Denmark,2000,2000-10-01,Badminton,0,1,0,1,Camilla Martin
Qin Yiyuan,27.0,China,2000,2000-10-01,Badminton,0,0,1,1,Qin Yiyuan
Minarti Timur,32.0,Indonesia,2000,2000-10-01,Badminton,0,1,0,1,Minarti Timur
Candra Wijaya,25.0,Indonesia,2000,2000-10-01,Badminton,1,0,0,1,Candra Wijaya
Joanne Wright-Goode,27.0,Great Britain,2000,2000-10-01,Badminton,0,0,1,1,Joanne Wright Goode
Xia Xuanze,21.0,China,2000,2000-10-01,Badminton,0,0,1,1,Xia Xuanze
Yang Wei,21.0,China,2000,2000-10-01,Badminton,0,1,0,1,Yang Wei
Ye Zhaoying,26.0,China,2000,2000-10-01,Badminton,0,0,1,1,Ye Zhaoying
Yu Yong-Seong,25.0,South Korea,2000,2000-10-01,Badminton,0,1,0,1,Yu Yong Seong
Zhang Jun,22.0,China,2000,2000-10-01,Badminton,1,0,0,1,Zhang Jun
Valerie Adams-Vili,27.0,New Zealand,2012,2012-08-12,Athletics,1,0,0,1,Valerie Adams Vili
Habiba Al-Ghribi-Boudra,28.0,Tunisia,2012,2012-08-12,Athletics,0,1,0,1,Habiba Al Ghribi Boudra
Ade Alleyne-Forte,23.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Ade Alleyne Forte
Nijel Amos,18.0,Botswana,2012,2012-08-12,Athletics,0,1,0,1,Nijel Amos
Sofia Assefa,24.0,Ethiopia,2012,2012-08-12,Athletics,0,0,1,1,Sofia Assefa
Ryan Bailey,23.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Ryan Bailey
Kemar Bailey-Cole,20.0,Jamaica,2012,2012-08-12,Athletics,1,0,0,1,Kemar Bailey Cole
Keshia Baker,24.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Keshia Baker
Brigetta Barrett,21.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Brigetta Barrett
Erick Barrondo,21.0,Guatemala,2012,2012-08-12,Athletics,0,1,0,1,Erick Barrondo
Mutaz Essa Barshim,21.0,Qatar,2012,2012-08-12,Athletics,0,0,1,1,Mutaz Essa Barshim
Tariku Bekele,25.0,Ethiopia,2012,2012-08-12,Athletics,0,0,1,1,Tariku Bekele
Keston Bledman,24.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Keston Bledman
Chris Brown,33.0,Bahamas,2012,2012-08-12,Athletics,1,0,0,1,Chris Brown
Yelyzaveta Bryzhina,22.0,Ukraine,2012,2012-08-12,Athletics,0,0,1,1,Yelyzaveta Bryzhina
Gamze Bulut,20.0,Turkey,2012,2012-08-12,Athletics,0,1,0,1,Gamze Bulut
Marc Burns,29.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Marc Burns
Asli Çakir,26.0,Turkey,2012,2012-08-12,Athletics,1,0,0,1,Asli Cakir
Emmanuel Callender,28.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Emmanuel Callender
Schillonie Calvert,24.0,Jamaica,2012,2012-08-12,Athletics,0,1,0,1,Schillonie Calvert
Nesta Carter,26.0,Jamaica,2012,2012-08-12,Athletics,1,0,0,1,Nesta Carter
Chen Ding,19.0,China,2012,2012-08-12,Athletics,1,0,0,1,Chen Ding
Tatyana Chernova,24.0,Russia,2012,2012-08-12,Athletics,0,0,1,1,Tatyana Chernova
Anna Chicherova,30.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Anna Chicherova
Javier Culson,28.0,Puerto Rico,2012,2012-08-12,Athletics,0,0,1,1,Javier Culson
Christine Day,25.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Christine Day
Meseret Defar,28.0,Ethiopia,2012,2012-08-12,Athletics,1,0,0,1,Meseret Defar
Janay DeLoach,26.0,United States,2012,2012-08-12,Athletics,0,0,1,1,Janay DeLoach
Jeff Demps,22.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Jeff Demps
Lashinda Demus,29.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Lashinda Demus
Diamond Dixon,20.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Diamond Dixon
Fabrizio Donato,35.0,Italy,2012,2012-08-12,Athletics,0,0,1,1,Fabrizio Donato
Derek Drouin,22.0,Canada,2012,2012-08-12,Athletics,0,0,1,1,Derek Drouin
Ashton Eaton,24.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Ashton Eaton
Jessica Ennis,26.0,Great Britain,2012,2012-08-12,Athletics,1,0,0,1,Jessica Ennis
Tatyana Firova,29.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Tatyana Firova
Michael Frater,29.0,Jamaica,2012,2012-08-12,Athletics,1,0,0,1,Michael Frater
Tyson Gay,30.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Tyson Gay
Dejen Gebremeskel,22.0,Ethiopia,2012,2012-08-12,Athletics,0,1,0,1,Dejen Gebremeskel
Tiki Gelana,24.0,Ethiopia,2012,2012-08-12,Athletics,1,0,0,1,Tiki Gelana
Gong Lijiao,23.0,China,2012,2012-08-12,Athletics,0,0,1,1,Gong Lijiao
Robbie Grabarz,24.0,Great Britain,2012,2012-08-12,Athletics,0,0,1,1,Robbie Grabarz
Yuliya Gushchina,29.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Yuliya Gushchina
Ehsan Haddadi,27.0,Iran,2012,2012-08-12,Athletics,0,1,0,1,Ehsan Haddadi
Trey Hardee,28.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Trey Hardee
Dawn Harper,28.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Dawn Harper
Robert Harting,27.0,Germany,2012,2012-08-12,Athletics,1,0,0,1,Robert Harting
Betty Heidler,28.0,Germany,2012,2012-08-12,Athletics,0,0,1,1,Betty Heidler
Zuzana Hejnová,25.0,Czech Republic,2012,2012-08-12,Athletics,0,0,1,1,Zuzana Hejnova
Samantha Henry-Robinson,23.0,Jamaica,2012,2012-08-12,Athletics,0,1,0,1,Samantha Henry Robinson
Reese Hoffa,34.0,United States,2012,2012-08-12,Athletics,0,0,1,1,Reese Hoffa
Raphael Holzdeppe,22.0,Germany,2012,2012-08-12,Athletics,0,0,1,1,Raphael Holzdeppe
Caterine Ibargüén,28.0,Colombia,2012,2012-08-12,Athletics,0,1,0,1,Caterine Ibarguen
Abdalaati Iguider,25.0,Morocco,2012,2012-08-12,Athletics,0,0,1,1,Abdalaati Iguider
Yelena Isinbayeva,30.0,Russia,2012,2012-08-12,Athletics,0,0,1,1,Yelena Isinbayeva
Maryam Jamal,27.0,Bahrain,2012,2012-08-12,Athletics,0,0,1,1,Maryam Jamal
Kirani James,19.0,Grenada,2012,2012-08-12,Athletics,1,0,0,1,Kirani James
Priscah Jeptoo,28.0,Kenya,2012,2012-08-12,Athletics,0,1,0,1,Priscah Jeptoo
Olga Kaniskina,27.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Olga Kaniskina
Gerd Kanter,33.0,Estonia,2012,2012-08-12,Athletics,0,0,1,1,Gerd Kanter
Anastasiya Kapachinskaya,32.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Anastasiya Kapachinskaya
Ezekiel Kemboi,30.0,Kenya,2012,2012-08-12,Athletics,1,0,0,1,Ezekiel Kemboi
Trell Kimmons,27.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Trell Kimmons
Stephen Kiprotich,23.0,Uganda,2012,2012-08-12,Athletics,1,0,0,1,Stephen Kiprotich
Wilson Kipsang Kiprotich,30.0,Kenya,2012,2012-08-12,Athletics,0,0,1,1,Wilson Kipsang Kiprotich
Sally Jepkosgei Kipyego,26.0,Kenya,2012,2012-08-12,Athletics,0,1,0,1,Sally Jepkosgei Kipyego
Sergey Kirdyapkin,32.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Sergey Kirdyapkin
Abel Kirui,30.0,Kenya,2012,2012-08-12,Athletics,0,1,0,1,Abel Kirui
Timothy Kitum,17.0,Kenya,2012,2012-08-12,Athletics,0,0,1,1,Timothy Kitum
Bianca Knight,23.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Bianca Knight
Yevgeniya Kolodko,22.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Yevgeniya Kolodko
Primož Kozmus,32.0,Slovenia,2012,2012-08-12,Athletics,0,1,0,1,Primoz Kozmus
Antonina Krivoshapka,25.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Antonina Krivoshapka
Erik Kynard,21.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Erik Kynard
Yelena Lashmanova,20.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Yelena Lashmanova
Renaud Lavillenie,25.0,France,2012,2012-08-12,Athletics,1,0,0,1,Renaud Lavillenie
Deon Lendore,19.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Deon Lendore
Li Yanfeng,33.0,China,2012,2012-08-12,Athletics,0,0,1,1,Li Yanfeng
Shereefa Lloyd,29.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Shereefa Lloyd
Thomas Longosiwa,30.0,Kenya,2012,2012-08-12,Athletics,0,0,1,1,Thomas Longosiwa
Tatyana Lysenko,28.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Tatyana Lysenko
Tianna Madison,26.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Tianna Madison
Tomasz Majewski,30.0,Poland,2012,2012-08-12,Athletics,1,0,0,1,Tomasz Majewski
Taoufik Makhloufi,24.0,Algeria,2012,2012-08-12,Athletics,1,0,0,1,Taoufik Makhloufi
Josh Mance,20.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Josh Mance
Leo Manzano,27.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Leo Manzano
Michael Mathieu,28.0,Bahamas,2012,2012-08-12,Athletics,1,0,0,1,Michael Mathieu
Francena McCorory,23.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Francena McCorory
Sally McLellan-Pearson,25.0,Australia,2012,2012-08-12,Athletics,1,0,0,1,Sally McLellan Pearson
Tony McQuay,22.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Tony McQuay
Mahiedine Mekhissi-Benabbad,27.0,France,2012,2012-08-12,Athletics,0,1,0,1,Mahiedine Mekhissi Benabbad
Aries Merritt,27.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Aries Merritt
Ramon Miller,25.0,Bahamas,2012,2012-08-12,Athletics,1,0,0,1,Ramon Miller
Manteo Mitchell,25.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Manteo Mitchell
Koji Murofushi,37.0,Japan,2012,2012-08-12,Athletics,0,0,1,1,Koji Murofushi
Abel Mutai,23.0,Kenya,2012,2012-08-12,Athletics,0,0,1,1,Abel Mutai
Nataliya Nazarova,33.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Nataliya Nazarova
Bryshon Nellum,23.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Bryshon Nellum
Christina Obergföll,30.0,Germany,2012,2012-08-12,Athletics,0,1,0,1,Christina Obergfoll
Christine Ohuruogu,28.0,Great Britain,2012,2012-08-12,Athletics,0,1,0,1,Christine Ohuruogu
Björn Otto,34.0,Germany,2012,2012-08-12,Athletics,0,1,0,1,Bjorn Otto
Oleksandr P'iatnytsia,27.0,Ukraine,2012,2012-08-12,Athletics,0,1,0,1,Oleksandr P iatnytsia
Hansle Parchment,22.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Hansle Parchment
Krisztián Pars,30.0,Hungary,2012,2012-08-12,Athletics,1,0,0,1,Krisztian Pars
Darvis Patton,34.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Darvis Patton
Sandra Perkovic,22.0,Croatia,2012,2012-08-12,Athletics,1,0,0,1,Sandra Perkovic
Tatyana Petrova-Arkhipova,29.0,Russia,2012,2012-08-12,Athletics,0,0,1,1,Tatyana Petrova Arkhipova
Demetrius Pinder,23.0,Bahamas,2012,2012-08-12,Athletics,1,0,0,1,Demetrius Pinder
Darya Pishchalnikova,27.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Darya Pishchalnikova
Yekaterina Poistogova,21.0,Russia,2012,2012-08-12,Athletics,0,0,1,1,Yekaterina Poistogova
Olesia Povkh,24.0,Ukraine,2012,2012-08-12,Athletics,0,0,1,1,Olesia Povkh
Qieyang Shenjie,21.0,China,2012,2012-08-12,Athletics,0,0,1,1,Qieyang Shenjie
Brittney Reese,25.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Brittney Reese
Jason Richardson,26.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Jason Richardson
Mariya Riemien,25.0,Ukraine,2012,2012-08-12,Athletics,0,0,1,1,Mariya Riemien
David Rudisha,23.0,Kenya,2012,2012-08-12,Athletics,1,0,0,1,David Rudisha
Galen Rupp,26.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Galen Rupp
Greg Rutherford,25.0,Great Britain,2012,2012-08-12,Athletics,1,0,0,1,Greg Rutherford
Antti Ruuskanen,28.0,Finland,2012,2012-08-12,Athletics,0,0,1,1,Antti Ruuskanen
Olga Rypakova,27.0,Kazakhstan,2012,2012-08-12,Athletics,1,0,0,1,Olga Rypakova
Olha Saladukha,29.0,Ukraine,2012,2012-08-12,Athletics,0,0,1,1,Olha Saladukha
Félix Sánchez,34.0,Dominican Republic,2012,2012-08-12,Athletics,1,0,0,1,Felix Sanchez
Luguelín Santos,19.0,Dominican Republic,2012,2012-08-12,Athletics,0,1,0,1,Luguelin Santos
Mariya Savinova,26.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Mariya Savinova
Lilli Schwarzkopf,28.0,Germany,2012,2012-08-12,Athletics,0,1,0,1,Lilli Schwarzkopf
Caster Semenya,21.0,South Africa,2012,2012-08-12,Athletics,0,1,0,1,Caster Semenya
Svetlana Shkolina,26.0,Russia,2012,2012-08-12,Athletics,0,0,1,1,Svetlana Shkolina
Si Tianfeng,28.0,China,2012,2012-08-12,Athletics,0,0,1,1,Si Tianfeng
Yarisley Silva,25.0,Cuba,2012,2012-08-12,Athletics,0,1,0,1,Yarisley Silva
Sherone Simpson,27.0,Jamaica,2012,2012-08-12,Athletics,0,1,0,1,Sherone Simpson
Yelena Sokolova,26.0,Russia,2012,2012-08-12,Athletics,0,1,0,1,Yelena Sokolova
Jarrin Solomon,26.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Jarrin Solomon
Barbora Špotáková,31.0,Czech Republic,2012,2012-08-12,Athletics,1,0,0,1,Barbora Spotakova
Linda Stahl,26.0,Germany,2012,2012-08-12,Athletics,0,0,1,1,Linda Stahl
Kerron Stewart,28.0,Jamaica,2012,2012-08-12,Athletics,0,1,0,1,Kerron Stewart
David Storl,22.0,Germany,2012,2012-08-12,Athletics,0,1,0,1,David Storl
Jenn Stuczynski-Suhr,30.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Jenn Stuczynski Suhr
Hrystyna Stuy,24.0,Ukraine,2012,2012-08-12,Athletics,0,0,1,1,Hrystyna Stuy
Leonel Suárez,24.0,Cuba,2012,2012-08-12,Athletics,0,0,1,1,Leonel Suarez
Jared Tallent,27.0,Australia,2012,2012-08-12,Athletics,0,1,0,1,Jared Tallent
Jeneba Tarmoh,22.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Jeneba Tarmoh
Angelo Taylor,33.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Angelo Taylor
Christian Taylor,22.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Christian Taylor
Richard Thompson,27.0,Trinidad and Tobago,2012,2012-08-12,Athletics,0,0,1,1,Richard Thompson
Michael Tinsley,28.0,United States,2012,2012-08-12,Athletics,0,1,0,1,Michael Tinsley
Ivan Ukhov,26.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Ivan Ukhov
Keshorn Walcott,19.0,Trinidad and Tobago,2012,2012-08-12,Athletics,1,0,0,1,Keshorn Walcott
Wang Zhen,20.0,China,2012,2012-08-12,Athletics,0,0,1,1,Wang Zhen
Mitch Watt,24.0,Australia,2012,2012-08-12,Athletics,0,1,0,1,Mitch Watt
Warren Weir,22.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Warren Weir
Kellie Wells,30.0,United States,2012,2012-08-12,Athletics,0,0,1,1,Kellie Wells
Rosemarie Whyte,25.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Rosemarie Whyte
Lauryn Williams,28.0,United States,2012,2012-08-12,Athletics,1,0,0,1,Lauryn Williams
Shericka Williams,26.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Shericka Williams
Novlene Williams-Mills,30.0,Jamaica,2012,2012-08-12,Athletics,0,0,1,1,Novlene Williams Mills
Anita Wlodarczyk,27.0,Poland,2012,2012-08-12,Athletics,0,1,0,1,Anita Wlodarczyk
Yuliya Zaripova,26.0,Russia,2012,2012-08-12,Athletics,1,0,0,1,Yuliya Zaripova
Mariya Abakumova,22.0,Russia,2008,2008-08-24,Athletics,0,1,0,1,Mariya Abakumova
Valerie Adams-Vili,23.0,New Zealand,2008,2008-08-24,Athletics,1,0,0,1,Valerie Adams Vili
Virgilijus Alekna,36.0,Lithuania,2008,2008-08-24,Athletics,0,0,1,1,Virgilijus Alekna
Denis Alekseyev,20.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Denis Alekseyev
Olena Antonova,36.0,Ukraine,2008,2008-08-24,Athletics,0,0,1,1,Olena Antonova
Aaron Armstrong,30.0,Trinidad and Tobago,2008,2008-08-24,Athletics,0,1,0,1,Aaron Armstrong
Nobuharu Asahara,36.0,Japan,2008,2008-08-24,Athletics,0,0,1,1,Nobuharu Asahara
Mehdi Baala,29.0,France,2008,2008-08-24,Athletics,0,0,1,1,Mehdi Baala
Dretti Bain,22.0,Bahamas,2008,2008-08-24,Athletics,0,1,0,1,Dretti Bain
Yarelis Barrios,25.0,Cuba,2008,2008-08-24,Athletics,0,1,0,1,Yarelis Barrios
Hasna Benhassi,30.0,Morocco,2008,2008-08-24,Athletics,0,0,1,1,Hasna Benhassi
Keston Bledman,20.0,Trinidad and Tobago,2008,2008-08-24,Athletics,0,1,0,1,Keston Bledman
Valeriy Borchin,21.0,Russia,2008,2008-08-24,Athletics,1,0,0,1,Valeriy Borchin
Olivia Borlée,22.0,Belgium,2008,2008-08-24,Athletics,0,1,0,1,Olivia Borlee
Chris Brown,29.0,Bahamas,2008,2008-08-24,Athletics,0,1,0,1,Chris Brown
Stephanie Brown-Trafton,28.0,United States,2008,2008-08-24,Athletics,1,0,0,1,Stephanie Brown Trafton
Wilfred Bungei,28.0,Kenya,2008,2008-08-24,Athletics,1,0,0,1,Wilfred Bungei
Marc Burns,25.0,Trinidad and Tobago,2008,2008-08-24,Athletics,0,1,0,1,Marc Burns
Emmanuel Callender,24.0,Trinidad and Tobago,2008,2008-08-24,Athletics,0,1,0,1,Emmanuel Callender
Ibrahim Camejo,26.0,Cuba,2008,2008-08-24,Athletics,0,0,1,1,Ibrahim Camejo
Veronica Campbell-Brown,26.0,Jamaica,2008,2008-08-24,Athletics,1,0,0,1,Veronica Campbell Brown
Christian Cantwell,27.0,United States,2008,2008-08-24,Athletics,0,1,0,1,Christian Cantwell
Nesta Carter,22.0,Jamaica,2008,2008-08-24,Athletics,1,0,0,1,Nesta Carter
Yuliya Chermoshanskaya,22.0,Russia,2008,2008-08-24,Athletics,1,0,0,1,Yuliya Chermoshanskaya
Tatyana Chernova,20.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Tatyana Chernova
Anna Chicherova,26.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Anna Chicherova
Bryan Clay,28.0,United States,2008,2008-08-24,Athletics,1,0,0,1,Bryan Clay
Shawn Crawford,30.0,United States,2008,2008-08-24,Athletics,0,1,0,1,Shawn Crawford
Tasha Danvers,30.0,Great Britain,2008,2008-08-24,Athletics,0,0,1,1,Tasha Danvers
Meseret Defar,24.0,Ethiopia,2008,2008-08-24,Athletics,0,0,1,1,Meseret Defar
Pigi Devetzi,32.0,Greece,2008,2008-08-24,Athletics,0,0,1,1,Pigi Devetzi
Vadim Devyatovsky,31.0,Belarus,2008,2008-08-24,Athletics,0,1,0,1,Vadim Devyatovsky
Constantina Dita-Tomescu,38.0,Romania,2008,2008-08-24,Athletics,1,0,0,1,Constantina Dita Tomescu
Nataliya Dobrynska,26.0,Ukraine,2008,2008-08-24,Athletics,1,0,0,1,Nataliya Dobrynska
Maksim Dyldin,21.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Maksim Dyldin
Nelson Évora,24.0,Portugal,2008,2008-08-24,Athletics,1,0,0,1,Nelson Evora
Aleksandra Fedoriva,19.0,Russia,2008,2008-08-24,Athletics,1,0,0,1,Aleksandra Fedoriva
Svetlana Feofanova,28.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Svetlana Feofanova
Tatyana Firova,25.0,Russia,2008,2008-08-24,Athletics,0,1,0,1,Tatyana Firova
Shalane Flanagan,27.0,United States,2008,2008-08-24,Athletics,0,0,1,1,Shalane Flanagan
Hyleas Fountain,27.0,United States,2008,2008-08-24,Athletics,0,1,0,1,Hyleas Fountain
Shelly-Ann Fraser-Pryce,21.0,Jamaica,2008,2008-08-24,Athletics,1,0,0,1,Shelly Ann Fraser Pryce
Michael Frater,25.0,Jamaica,2008,2008-08-24,Athletics,1,0,0,1,Michael Frater
Vladislav Frolov,28.0,Russia,2008,2008-08-24,Athletics,0,0,1,1,Vladislav Frolov
Kim Gevaert,30.0,Belgium,2008,2008-08-24,Athletics,0,1,0,1,Kim Gevaert
Jaouad Gharib,36.0,Morocco,2008,2008-08-24,Athletics,0,1,0,1,Jaouad Gharib
Dawn Harper,24.0,United States,2008,2008-08-24,Athletics,1,0,0,1,Dawn Harper
Natasha Hastings,22.0,United States,2008,2008-08-24,Athletics,1,0,0,1,Natasha Hastings
Tia Hellebaut,30.0,Belgium,2008,2008-08-24,Athletics,1,0,0,1,Tia Hellebaut
Monique Henderson,25.0,United States,2008,2008-08-24,Athletics,1,0,0,1,Monique Henderson
Steve Hooker,26.0,Australia,2008,2008-08-24,Athletics,1,0,0,1,Steve Hooker
Franca Idoko,23.0,Nigeria,2008,2008-08-24,Athletics,0,0,1,1,Franca Idoko
Phillips Idowu,29.0,Great Britain,2008,2008-08-24,Athletics,0,1,0,1,Phillips Idowu
Yelena Isinbayeva,26.0,Russia,2008,2008-08-24,Athletics,1,0,0,1,Yelena Isinbayeva
Ismail Ahmed Ismail,23.0,Sudan,2008,2008-08-24,Athletics,0,1,0,1,Ismail Ahmed Ismail
Halimat Ismaila,24.0,Nigeria,2008,2008-08-24,Athletics,0,0,1,1,Halimat Ismaila
Bershawn Jackson,25.0,United States,2008,2008-08-24,Athletics,0,0,1,1,Bershawn Jackson
Pamela Jelimo,18.0,Kenya,2008,2008-08-24,Athletics,1,0,0,1,Pamela Jelimo
Eunice Jepkorir,26.0,Kenya,2008,2008-08-24,Athletics,0,1,0,1,Eunice Jepkorir
Janeth Jepkosgei,24.0,Kenya,2008,2008-08-24,Athletics,0,1,0,1,Janeth Jepkosgei
Sheena Johnson-Tosta,25.0,United States,2008,2008-08-24,Athletics,0,1,0,1,Sheena Johnson Tosta
Olga Kaniskina,23.0,Russia,2008,2008-08-24,Athletics,1,0,0,1,Olga Kaniskina
